web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,219,219,MOBILHOME 4 personnes - 2 chambres (dimanche),Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,249,249,MOBILHOME 6 personnes - 3 chambres (dimanche),Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,207.90,207.90,MOBILHOME 6 personnes - Ibie TI,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219.45,219.45,MOBILHOME 4 personnes - PMR IRM,Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219.45,219.45,MOBILHOME 6 personnes - IBIE o Hara 30m² TC 3 chambres,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219.45,219.45,MOBILHOME 4 personnes - COTTAGE DUO Climatisé,Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,229.93,229.93,MOBILHOME 6 personnes - EVO29,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,254.10,254.10,MOBILHOME 6 personnes - MOBIL HOME  KV 3 Chambres TV CLIM PREMIUM +,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,300,300,MOBILHOME 6 personnes - Lodge 30m² - 2 chambres,Camping La Nouzarede,6 Adultes, 07260 JOYEUSE,,,15,camping-la-nouzarede-81373,
,10/04/2023,16/04/2023,23/04/2023,335,335,MOBILHOME 8 personnes - Lodge 32m² - 3 chambres,Camping La Nouzarede,8 Adultes, 07260 JOYEUSE,,,15,camping-la-nouzarede-81373,
,10/04/2023,12/08/2023,19/08/2023,530,530,BUNGALOW TOILÉ 4 personnes,Camping La Rouviere,2 Adultes, Route Des Gorges ,,,32,camping-la-rouviere-88557,
,10/04/2023,12/08/2023,19/08/2023,947,947,MOBILHOME 7 personnes - Grand Confort - 25 m2,Camping La Rouviere,5 Adultes, Route Des Gorges ,,,32,camping-la-rouviere-88557,
,10/04/2023,12/08/2023,19/08/2023,993,993,MOBILHOME 6 personnes - Grand Confort - 28 m2,Camping La Rouviere,4 Adultes, Route Des Gorges ,,,32,camping-la-rouviere-88557,
,10/04/2023,13/08/2023,20/08/2023,1179,1179,MOBILHOME 4 personnes - 2 chambres (dimanche),Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,32,camping-le-sous-bois-78350,
,10/04/2023,13/08/2023,20/08/2023,1199,1199,MOBILHOME 6 personnes - 3 chambres (dimanche),Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,32,camping-le-sous-bois-78350,
,10/04/2023,13/08/2023,20/08/2023,1049,1049,MOBILHOME 6 personnes - 2 Chambres,Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,32,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,380,323,MOBILHOME 4 personnes - Confort 2 chambres,Camping Romanée - la Ferme de Serraz,4 Adultes, 74210 DOUSSARD,,,15,camping-romanee-la-ferme-de-serraz-77220,
,10/04/2023,16/04/2023,23/04/2023,504,428.40,MOBILHOME 4 personnes - PREMIUM 2 chambres,Camping Romanée - la Ferme de Serraz,4 Adultes, 74210 DOUSSARD,,,15,camping-romanee-la-ferme-de-serraz-77220,
,10/04/2023,16/04/2023,23/04/2023,539,458.15,MOBILHOME 6 personnes - Confort 3 chambres,Camping Romanée - la Ferme de Serraz,6 Adultes, 74210 DOUSSARD,,,15,camping-romanee-la-ferme-de-serraz-77220,
,10/04/2023,16/04/2023,23/04/2023,747,634.95,MOBILHOME 6 personnes - PREMIUM 3 chambres,Camping Romanée - la Ferme de Serraz,6 Adultes, 74210 DOUSSARD,,,15,camping-romanee-la-ferme-de-serraz-77220,
,10/04/2023,16/04/2023,23/04/2023,1312,1115.20,MOBILHOME 6 personnes - EXCLUSIF 3 chambres Tribu avec suite parentale,Camping Romanée - la Ferme de Serraz,6 Adultes, 74210 DOUSSARD,,,15,camping-romanee-la-ferme-de-serraz-77220,
,10/04/2023,12/08/2023,19/08/2023,510,510,BUNGALOW TOILÉ 4 personnes - sans sanitaires,Camping Le Retourtier,2 Adultes, 07120 BALAZUC,,,32,camping-le-retourtier-81408,
,10/04/2023,12/08/2023,19/08/2023,590,590,BUNGALOW TOILÉ 5 personnes - avec sanitaires,Camping Le Retourtier,3 Adultes, 07120 BALAZUC,,,32,camping-le-retourtier-81408,
,10/04/2023,12/08/2023,19/08/2023,840,756,CHALET 5 personnes - 4 ou 5 personnes,Camping Le Retourtier,3 Adultes, 07120 BALAZUC,,,32,camping-le-retourtier-81408,
,10/04/2023,12/08/2023,19/08/2023,840,840,MOBILHOME 4 personnes,Camping Le Retourtier,4 Adultes, 07120 BALAZUC,,,32,camping-le-retourtier-81408,
,10/04/2023,12/08/2023,19/08/2023,980,882,CHALET 6 personnes,Camping Le Retourtier,4 Adultes, 07120 BALAZUC,,,32,camping-le-retourtier-81408,
,10/04/2023,16/04/2023,23/04/2023,472,401.20,MOBILHOME 4 personnes - Pêcher,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,506,430.10,MOBILHOME 4 personnes - Marronier accès PMR,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,507,430.95,MOBILHOME 4 personnes - Cerisier,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,528,448.80,MOBILHOME 6 personnes - Acacia,Camping RCN La Bastide en Ardèche,6 Adultes, 07120 RUOMS,,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,535,454.75,MOBILHOME 4 personnes - Pommier,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,562,477.70,MOBILHOME 4 personnes - Pommier vue rivière,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,583,495.55,MOBILHOME 4 personnes - Magnolia,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,617,524.45,MOBILHOME 6 personnes - Olivier,Camping RCN La Bastide en Ardèche,6 Adultes, 07120 RUOMS,,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,652,554.20,MOBILHOME 6 personnes - Vigne,Camping RCN La Bastide en Ardèche,6 Adultes, 07120 RUOMS,,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,673,572.05,MOBILHOME 6 personnes - Passiflore,Camping RCN La Bastide en Ardèche,6 Adultes, 07120 RUOMS,,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,12/08/2023,19/08/2023,749,636.65,MOBILHOME 4 personnes - Cottage Toilé 21m² - sans sanitaire,Camping Koawa le Lac Bleu,4 Adultes, 26410 CHATILLON EN DIOIS,,,32,camping-koawa-le-lac-bleu-77118,
,10/04/2023,12/08/2023,19/08/2023,833,708.05,HÉBERGEMENT INSOLITE 4 personnes - Tipi toilé 18m² - sans sanitaires,Camping Koawa le Lac Bleu,4 Adultes, 26410 CHATILLON EN DIOIS,,,32,camping-koawa-le-lac-bleu-77118,
,10/04/2023,12/08/2023,19/08/2023,1015,862.75,MOBILHOME 4 personnes - Loggia Confort 26m² - Climatisation - TV,Camping Koawa le Lac Bleu,4 Adultes, 26410 CHATILLON EN DIOIS,,,32,camping-koawa-le-lac-bleu-77118,
,10/04/2023,12/08/2023,19/08/2023,1057,898.45,MOBILHOME 4 personnes - Loggia Confort 30m² - Climatisation - TV,Camping Koawa le Lac Bleu,4 Adultes, 26410 CHATILLON EN DIOIS,,,32,camping-koawa-le-lac-bleu-77118,
,10/04/2023,12/08/2023,19/08/2023,1260,1071,MOBILHOME 4 personnes - New Family BDL 29m² Clim TV,Camping Koawa le Lac Bleu,4 Adultes, 26410 CHATILLON EN DIOIS,,,32,camping-koawa-le-lac-bleu-77118,
,10/04/2023,12/08/2023,19/08/2023,1274,1082.90,MOBILHOME 4 personnes - Loggia Premium 33m² - Climatisation - TV,Camping Koawa le Lac Bleu,4 Adultes, 26410 CHATILLON EN DIOIS,,,32,camping-koawa-le-lac-bleu-77118,
,10/04/2023,12/08/2023,19/08/2023,1372,1166.20,MOBILHOME 4 personnes - Loggia Premium 33m² - Bord de lac - Climatisation - TV,Camping Koawa le Lac Bleu,4 Adultes, 26410 CHATILLON EN DIOIS,,,32,camping-koawa-le-lac-bleu-77118,
