web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,917,917,MOBILHOME 8 personnes,Camping du Lac de Moselotte,8 Adultes, 88290 SAULXURES SUR MOSELOTTE,,,15,camping-du-lac-de-moselotte-78507,
,10/04/2023,12/08/2023,19/08/2023,940,940,MOBILHOME 4 personnes - MH2 GRAND LARGE 30 m²,Camping Club Lac de Bouzey,4 Adultes, 88390 Sanchey ,,,32,camping-club-lac-de-bouzey-78473,
,10/04/2023,12/08/2023,19/08/2023,1080,1080,MOBILHOME 4 personnes - MH2 FLORES 2 - 30 m²,Camping Club Lac de Bouzey,4 Adultes, 88390 Sanchey ,,,32,camping-club-lac-de-bouzey-78473,
,10/04/2023,12/08/2023,19/08/2023,1080,1080,MOBILHOME 4 personnes - MH2 SAVANAH 31 m²,Camping Club Lac de Bouzey,4 Adultes, 88390 Sanchey ,,,32,camping-club-lac-de-bouzey-78473,
,10/04/2023,12/08/2023,19/08/2023,1150,1150,MOBILHOME 6 personnes - MH3 GRAND CHARMEUR 32 m²,Camping Club Lac de Bouzey,6 Adultes, 88390 Sanchey ,,,32,camping-club-lac-de-bouzey-78473,
,10/04/2023,12/08/2023,19/08/2023,1150,1150,MOBILHOME 6 personnes - MH3 FLORES-3 38 m²,Camping Club Lac de Bouzey,6 Adultes, 88390 Sanchey ,,,32,camping-club-lac-de-bouzey-78473,
,10/04/2023,12/08/2023,19/08/2023,1150,1150,MOBILHOME 6 personnes - MH2 VIP PACIFIQUE 30 m²,Camping Club Lac de Bouzey,4 Adultes, 88390 Sanchey ,,,32,camping-club-lac-de-bouzey-78473,
,10/04/2023,12/08/2023,19/08/2023,1220,1220,MOBILHOME 6 personnes - MH2 VIP SUMBA 32 m²,Camping Club Lac de Bouzey,4 Adultes, 88390 Sanchey ,,,32,camping-club-lac-de-bouzey-78473,
,10/04/2023,12/08/2023,19/08/2023,1290,1290,MOBILHOME 5 personnes - MH2 VIP TAOS 35 m²,Camping Club Lac de Bouzey,4 Adultes, 88390 Sanchey ,,,32,camping-club-lac-de-bouzey-78473,
,10/04/2023,12/08/2023,19/08/2023,1490,1490,MOBILHOME 4 personnes - MOBIWOOD 40 PMR - 2 Chambres,Camping Club Lac de Bouzey,4 Adultes, 88390 Sanchey ,,,32,camping-club-lac-de-bouzey-78473,
