web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,17/04/2023,23/04/2023,30/04/2023,363,261,MOBILHOME 6 personnes - Cosy 2 chambres (I6P2),Camping La Falaise,5 Adultes, 11100 NARBONNE PLAGE,,,16,camping-la-falaise-77875,
,17/04/2023,23/04/2023,30/04/2023,407,291,MOBILHOME 4 personnes - Cosy 2 chambres Climatisé  (I42C),Camping La Falaise,4 Adultes, 11100 NARBONNE PLAGE,,,16,camping-la-falaise-77875,
,17/04/2023,22/04/2023,29/04/2023,350,252,MOBILHOME 6 personnes - Cosy 2 chambres (I6P2),Camping La Falaise,5 Adultes, 11100 NARBONNE PLAGE,,,16,camping-la-falaise-77875,
,17/04/2023,22/04/2023,29/04/2023,392,280,MOBILHOME 4 personnes - Cosy 2 chambres Climatisé  (I42C),Camping La Falaise,4 Adultes, 11100 NARBONNE PLAGE,,,16,camping-la-falaise-77875,
,17/04/2023,22/04/2023,29/04/2023,266,226.10,MOBILHOME 6 personnes - Classic XL 4/6 places,Camping Le Val de Cesse,4 Adultes, 11120 MIREPEISSET,,,16,camping-le-val-de-cesse-77745,
,17/04/2023,22/04/2023,29/04/2023,301,255.85,MOBILHOME 6 personnes - Classic XL,Camping Le Val de Cesse,6 Adultes, 11120 MIREPEISSET,,,16,camping-le-val-de-cesse-77745,
,17/04/2023,19/08/2023,26/08/2023,1569,1569,MOBILHOME 6 personnes - Cottage 3 chambres Climatisé + TV + LV,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,33,camping-campeole-la-cote-des-roses-77876,
,17/04/2023,19/08/2023,26/08/2023,1609.10,1465.10,MOBILHOME 6 personnes - Bahia CONFORT Climatisé,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,33,camping-campeole-la-cote-des-roses-77876,
,17/04/2023,19/08/2023,26/08/2023,1491,1491,MOBILHOME 4 personnes - Panorama CONFORT Climatisé Vue Plan dEau,Camping Campéole La Côte des Roses,4 Adultes, 11100 NARBONNE PLAGE,,,33,camping-campeole-la-cote-des-roses-77876,
,17/04/2023,19/08/2023,26/08/2023,1651.32,1503.32,MOBILHOME 6 personnes - Venezia CONFORT Climatisé Vue Plan deau,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,33,camping-campeole-la-cote-des-roses-77876,
,17/04/2023,19/08/2023,26/08/2023,1578.90,1578.90,MOBILHOME 6 personnes - Cottage 4 Pièces 6 Personnes Climatisé + TV,Camping Campéole La Côte des Roses,4 Adultes, 11100 NARBONNE PLAGE,,,33,camping-campeole-la-cote-des-roses-77876,
,17/04/2023,19/08/2023,26/08/2023,1840.31,1675.31,MOBILHOME 6 personnes - Toscane CONFORT Climatisé,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,33,camping-campeole-la-cote-des-roses-77876,
,17/04/2023,22/04/2023,29/04/2023,235,235,BUNGALOW TOILÉ 4 personnes - COCO SWEET,Camping La Grange Neuve,4 Adultes,Nord ,,,16,camping-la-grange-neuve-78536,
,17/04/2023,22/04/2023,29/04/2023,291,291,MOBILHOME 4 personnes - PELICAN,Camping La Grange Neuve,4 Adultes,Nord ,,,16,camping-la-grange-neuve-78536,
,17/04/2023,22/04/2023,29/04/2023,301,301,MOBILHOME 4 personnes - FLAMANT ROSE,Camping La Grange Neuve,4 Adultes,Nord ,,,16,camping-la-grange-neuve-78536,
,17/04/2023,22/04/2023,29/04/2023,322,322,MOBILHOME 4 personnes - FLAMAND ROSE + Clim et TV,Camping La Grange Neuve,4 Adultes,Nord ,,,16,camping-la-grange-neuve-78536,
,17/04/2023,22/04/2023,29/04/2023,343,343,MOBILHOME 4 personnes - PREMIUM Côté Jardin,Camping La Grange Neuve,4 Adultes,Nord ,,,16,camping-la-grange-neuve-78536,
,17/04/2023,22/04/2023,29/04/2023,415,415,MOBILHOME 6 personnes - GIRAFE + Clim et TV,Camping La Grange Neuve,4 Adultes,Nord ,,,16,camping-la-grange-neuve-78536,
,17/04/2023,19/08/2023,26/08/2023,680,680,MOBILHOME 5 personnes - TRITON - 2 chambres - Essentiel - 24m²,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,33,camping-le-pinada-77247,
,17/04/2023,19/08/2023,26/08/2023,750,750,MOBILHOME 5 personnes - LOUISIANE - 2 chambres - 22m²,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,33,camping-le-pinada-77247,
,17/04/2023,19/08/2023,26/08/2023,780,780,MOBILHOME 5 personnes - TITANIA - 2 chambres - 24m²,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,33,camping-le-pinada-77247,
