web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,17/04/2023,22/04/2023,29/04/2023,339,339,MOBILHOME 8 personnes - FEERIQUE,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,,16,camping-des-alberes-77482,
,17/04/2023,22/04/2023,29/04/2023,319,319,MOBILHOME 6 personnes - PASSION,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,16,camping-des-alberes-77482,
,17/04/2023,22/04/2023,29/04/2023,339,339,MOBILHOME 8 personnes - FEERIQUE,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,16,camping-des-alberes-77482,
,17/04/2023,22/04/2023,29/04/2023,339,339,MOBILHOME 4 personnes - DUO,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,16,camping-des-alberes-77482,
,17/04/2023,22/04/2023,29/04/2023,519,519,MOBILHOME 8 personnes - QUATTRO,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,,16,camping-des-alberes-77482,
,17/04/2023,23/04/2023,30/04/2023,319,319,MOBILHOME 6 personnes - PASSION,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,16,camping-des-alberes-77482,
,17/04/2023,23/04/2023,30/04/2023,339,339,MOBILHOME 8 personnes - FEERIQUE,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,16,camping-des-alberes-77482,
,17/04/2023,23/04/2023,30/04/2023,339,339,MOBILHOME 4 personnes - DUO,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,16,camping-des-alberes-77482,
,17/04/2023,23/04/2023,30/04/2023,519,519,MOBILHOME 8 personnes - QUATTRO,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,,16,camping-des-alberes-77482,
,17/04/2023,20/08/2023,27/08/2023,2236.04,2058.04,MOBILHOME 6 personnes - 6 personnes Standard 3 chambres,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,17/04/2023,20/08/2023,27/08/2023,2692.56,2477.56,MOBILHOME 6 personnes - Premium 2 chambres 2 sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,17/04/2023,20/08/2023,27/08/2023,2923.08,2690.08,MOBILHOME 6 personnes - 6 personnes Premium 3 chambres 2 sdb,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,17/04/2023,20/08/2023,27/08/2023,3154.60,2902.60,MOBILHOME 6 personnes - Premium 3 Chbr / 2 Sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,17/04/2023,20/08/2023,27/08/2023,3226.84,2968.84,MOBILHOME 4 personnes - Suite Moussaillons,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,17/04/2023,20/08/2023,27/08/2023,3562.96,3277.96,MOBILHOME 4 personnes - Suite Pirate,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,17/04/2023,20/08/2023,27/08/2023,4486.04,4128.04,CHAMBRE 6 personnes - SUITE FLIBUSTIER,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,17/04/2023,20/08/2023,27/08/2023,6334.20,5828.20,CHAMBRE 6 personnes - SUITE PREMIUM BOUCANIER avec jacuzzi,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,17/04/2023,20/08/2023,27/08/2023,8050.92,7406.92,MOBILHOME 6 personnes - Suite Barbe Noire,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,17/04/2023,22/04/2023,29/04/2023,435,435,MOBILHOME 8 personnes - Confort 8 Personnes (TV-Climatisation),Camping Les Salisses,8 Adultes, 34450 VIAS,,,16,camping-les-salisses-76793,
,17/04/2023,22/04/2023,29/04/2023,440,440,MOBILHOME 8 personnes,Camping Les Salisses,8 Adultes, 34450 VIAS,,,16,camping-les-salisses-76793,
,17/04/2023,23/04/2023,30/04/2023,299,299,MOBILHOME 8 personnes - 6/8 Places 3 Chambres (Clim TV),Camping Les Salisses,6 Adultes, 34450 VIAS,,,16,camping-les-salisses-76793,
,17/04/2023,23/04/2023,30/04/2023,365,365,MOBILHOME 6 personnes - Confort 6 Personnes (TV-Climatisation),Camping Les Salisses,6 Adultes, 34450 VIAS,,,16,camping-les-salisses-76793,
