web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,24/04/2023,20/08/2023,27/08/2023,1754.60,1614.60,MOBILHOME 4 personnes - 4 pax standard 2 chambres,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,24/04/2023,20/08/2023,27/08/2023,2236.04,2058.04,MOBILHOME 6 personnes - 6 personnes Standard 3 chambres,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,24/04/2023,20/08/2023,27/08/2023,2692.56,2477.56,MOBILHOME 6 personnes - Premium 2 chambres 2 sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,24/04/2023,20/08/2023,27/08/2023,2923.08,2690.08,MOBILHOME 6 personnes - 6 personnes Premium 3 chambres 2 sdb,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,24/04/2023,20/08/2023,27/08/2023,3154.60,2902.60,MOBILHOME 6 personnes - Premium 3 Chbr / 2 Sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,24/04/2023,20/08/2023,27/08/2023,3226.84,2968.84,MOBILHOME 4 personnes - Suite Moussaillons,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,24/04/2023,20/08/2023,27/08/2023,3562.96,3277.96,MOBILHOME 4 personnes - Suite Pirate,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,24/04/2023,20/08/2023,27/08/2023,4486.04,4128.04,CHAMBRE 6 personnes - SUITE FLIBUSTIER,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,24/04/2023,20/08/2023,27/08/2023,6334.20,5828.20,CHAMBRE 6 personnes - SUITE PREMIUM BOUCANIER avec jacuzzi,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,24/04/2023,20/08/2023,27/08/2023,8050.92,7406.92,MOBILHOME 6 personnes - Suite Barbe Noire,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
,24/04/2023,20/08/2023,27/08/2023,1449,1449,MOBILHOME 6 personnes - 2 chambres 4/6 places,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,33,camping-le-clos-virgile-78527,
,24/04/2023,20/08/2023,27/08/2023,1549,1549,MOBILHOME 6 personnes - 3 chambres,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,33,camping-le-clos-virgile-78527,
,24/04/2023,20/08/2023,27/08/2023,1148,1148,MOBILHOME 4 personnes - Basik,La Clape Village,4 Adultes, 34300 AGDE,,,33,la-clape-village-76694,
,24/04/2023,20/08/2023,27/08/2023,1375,1375,CHALET 5 personnes - Classik,La Clape Village,4 Adultes, 34300 AGDE,,,33,la-clape-village-76694,
,24/04/2023,20/08/2023,27/08/2023,1278,1086.30,MOBILHOME 4 personnes - FAMILY PREMIUM,Camping Beau Rivage,4 Adultes, 34140 MEZE,,,33,camping-beau-rivage-77811,
,24/04/2023,20/08/2023,27/08/2023,1345,1143.25,MOBILHOME 4 personnes - LOGGIA PREMIUM,Camping Beau Rivage,4 Adultes, 34140 MEZE,,,33,camping-beau-rivage-77811,
,24/04/2023,20/08/2023,27/08/2023,1380,1173,MOBILHOME 6 personnes - ESPACE CLASSIC,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,33,camping-beau-rivage-77811,
,24/04/2023,20/08/2023,27/08/2023,1518,1290.30,MOBILHOME 6 personnes - ESPACE PREMIUM,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,33,camping-beau-rivage-77811,
,24/04/2023,20/08/2023,27/08/2023,1575,1338.75,MOBILHOME 6 personnes - ESPACE PREMIUM + clim TV,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,33,camping-beau-rivage-77811,
,24/04/2023,20/08/2023,27/08/2023,1618,1375.30,MOBILHOME 6 personnes - BAY PREMIUM,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,33,camping-beau-rivage-77811,
,24/04/2023,20/08/2023,27/08/2023,1645,1398.25,MOBILHOME 6 personnes - ESPACE PREMIUM- vue sur le Bassin de Thau,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,33,camping-beau-rivage-77811,
,24/04/2023,20/08/2023,27/08/2023,1740,1479,MOBILHOME 4 personnes - FAMILY LUXE (draps inclus),Camping Beau Rivage,4 Adultes, 34140 MEZE,,,33,camping-beau-rivage-77811,
,24/04/2023,20/08/2023,27/08/2023,1845,1568.25,MOBILHOME 4 personnes - FAMILY LUXE (draps inclus),Camping Beau Rivage,4 Adultes, 34140 MEZE,,,33,camping-beau-rivage-77811,
,24/04/2023,20/08/2023,27/08/2023,1088,1088,MOBILHOME 5 personnes - Cosy 2 chambres Climatisé  (I52C),Camping Le Palavas,4 Adultes, 34250 PALAVAS LES FLOTS,,,33,camping-le-palavas-77941,
,24/04/2023,20/08/2023,27/08/2023,1101,1101,HÉBERGEMENT INSOLITE 6 personnes - Cabane tithome 3 chambres Climatisée (CS6C),Camping Le Palavas,4 Adultes, 34250 PALAVAS LES FLOTS,,,33,camping-le-palavas-77941,
,24/04/2023,20/08/2023,27/08/2023,1116,1116,MOBILHOME 6 personnes - Cosy 2 chambres Climatisé (I62C),Camping Le Palavas,5 Adultes, 34250 PALAVAS LES FLOTS,,,33,camping-le-palavas-77941,
,24/04/2023,20/08/2023,27/08/2023,1220,1220,MOBILHOME 6 personnes - Cosy 3 chambres Climatisé (I63C),Camping Le Palavas,6 Adultes, 34250 PALAVAS LES FLOTS,,,33,camping-le-palavas-77941,
,24/04/2023,20/08/2023,27/08/2023,1065,1065,GÎTE 6 personnes - 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,33,camping-sea-green-l-occitan-78738,
,24/04/2023,20/08/2023,27/08/2023,1302,1302,MOBILHOME 6 personnes - 3 Chambres (Clim),Camping Montpellier Plage,6 Adultes, 34250 PALAVAS LES FLOTS,,,33,camping-montpellier-plage-77942,
,24/04/2023,20/08/2023,27/08/2023,1080,1080,MOBILHOME 6 personnes - Bien-être 2ch 6p Signature clim,Camping Siblu Les Sables du midi - Funpass inclus,6 Adultes, 34000 VALRAS,,,33,camping-siblu-les-sables-du-midi-funpass-inclus-78692,
,24/04/2023,20/08/2023,27/08/2023,1102,1102,MOBILHOME 8 personnes - Bien-être 3ch 8p Signature clim,Camping Siblu Les Sables du midi - Funpass inclus,8 Adultes, 34000 VALRAS,,,33,camping-siblu-les-sables-du-midi-funpass-inclus-78692,
,24/04/2023,20/08/2023,27/08/2023,800,800,MOBILHOME 6 personnes,Camping Village Azur,4 Adultes, 34725 SAINT ANDRE,,,33,camping-village-azur-87699,
,24/04/2023,20/08/2023,27/08/2023,1089,1089,MOBILHOME 4 personnes - 4 personnes,Camping Domaine Saint Maurice,4 Adultes, 34250 PALAVAS LES FLOTS,,,33,camping-domaine-saint-maurice-77946,
,24/04/2023,20/08/2023,27/08/2023,480,480,MOBILHOME 4 personnes - Economique,Camping Domaine de Gatinié,4 Adultes, 34600 LES AIRES,,,33,camping-domaine-de-gatinie-80282,
,24/04/2023,20/08/2023,27/08/2023,550,550,MOBILHOME 4 personnes - Confort,Camping Domaine de Gatinié,4 Adultes, 34600 LES AIRES,,,33,camping-domaine-de-gatinie-80282,
,24/04/2023,20/08/2023,27/08/2023,620,620,MOBILHOME 6 personnes - Confort +,Camping Domaine de Gatinié,5 Adultes, 34600 LES AIRES,,,33,camping-domaine-de-gatinie-80282,
,24/04/2023,20/08/2023,27/08/2023,1226,1226,GÎTE 4 personnes,Village Le Clos des Cigales,4 Adultes, 34530 MONTAGNAC,,,33,village-le-clos-des-cigales-87875,
,24/04/2023,20/08/2023,27/08/2023,1336,1336,CHALET 5 personnes - HABITAT NATURE,Village Le Clos des Cigales,5 Adultes, 34530 MONTAGNAC,,,33,village-le-clos-des-cigales-87875,
,24/04/2023,20/08/2023,27/08/2023,1478,1478,MOBILHOME 7 personnes - HABITAT NATURE,Village Le Clos des Cigales,7 Adultes, 34530 MONTAGNAC,,,33,village-le-clos-des-cigales-87875,
,24/04/2023,20/08/2023,27/08/2023,1225,1225,TENTE 4 personnes - Tente Eco-Chic,Camping Domaine D'Anglas,4 Adultes, 34190 BRISSAC,,,33,camping-domaine-danglas-80625,
,24/04/2023,20/08/2023,27/08/2023,1330,1330,TENTE TOILE ET BOIS 5 personnes - Lodge Family,Camping Domaine D'Anglas,5 Adultes, 34190 BRISSAC,,,33,camping-domaine-danglas-80625,
,24/04/2023,20/08/2023,27/08/2023,1400,1400,TENTE TOILE ET BOIS 5 personnes - Glamping Lodge,Camping Domaine D'Anglas,5 Adultes, 34190 BRISSAC,,,33,camping-domaine-danglas-80625,
,24/04/2023,20/08/2023,27/08/2023,2205,2205,MOBILHOME 4 personnes - WINE COTTAGE avec Jaccuzzi,Camping Domaine D'Anglas,4 Adultes, 34190 BRISSAC,,,33,camping-domaine-danglas-80625,
,24/04/2023,20/08/2023,27/08/2023,813,813,TENTE TOILE ET BOIS 5 personnes - Safari Lodge 3 Pièces 5 Personnes,Camping maeva Club Les Rivières,5 Adultes, 34800 CANET,,,33,camping-maeva-club-les-rivieres-91375,
,24/04/2023,20/08/2023,27/08/2023,848,848,MOBILHOME 4 personnes - Confort Plus 3 Pièces 4 Personnes Climatisé + TV,Camping maeva Club Les Rivières,4 Adultes, 34800 CANET,,,33,camping-maeva-club-les-rivieres-91375,
,24/04/2023,20/08/2023,27/08/2023,928,928,MOBILHOME 6 personnes - 4 Pièces 6 Personnes Climatisé + TV,Camping maeva Club Les Rivières,6 Adultes, 34800 CANET,,,33,camping-maeva-club-les-rivieres-91375,
,24/04/2023,20/08/2023,27/08/2023,1310,1310,MOBILHOME 4 personnes - Cosy - 2 chambres Climatise (I42C),Camping Le Castellas,4 Adultes, 34200 SETE,,,33,camping-le-castellas-76682,
,24/04/2023,20/08/2023,27/08/2023,1338,1338,MOBILHOME 6 personnes - Cosy 3 chambres (I6P3),Camping Le Castellas,6 Adultes, 34200 SETE,,,33,camping-le-castellas-76682,
,24/04/2023,20/08/2023,27/08/2023,1373,1373,MOBILHOME 6 personnes - Cosy - 2 chambres Climatisé (I62C),Camping Le Castellas,5 Adultes, 34200 SETE,,,33,camping-le-castellas-76682,
,24/04/2023,20/08/2023,27/08/2023,1438,1438,MOBILHOME 6 personnes - Cosy 3 chambres Climatisé (I63C),Camping Le Castellas,6 Adultes, 34200 SETE,,,33,camping-le-castellas-76682,
,24/04/2023,20/08/2023,27/08/2023,1800,1800,MOBILHOME 6 personnes - Premium - 3 chambres (V6P3),Camping Le Castellas,6 Adultes, 34200 SETE,,,33,camping-le-castellas-76682,
,24/04/2023,20/08/2023,27/08/2023,1800,1800,MOBILHOME 6 personnes - Moda - 3 chambres 2 Sdb Climatisé  (P63C),Camping Le Castellas,6 Adultes, 34200 SETE,,,33,camping-le-castellas-76682,
,24/04/2023,20/08/2023,27/08/2023,1831,1831,MOBILHOME 8 personnes - Fidji + clim,Camping Le Bellevue,8 Adultes, 34350 VALRAS,,,33,camping-le-bellevue-76586,
,24/04/2023,20/08/2023,27/08/2023,2176,2176,MOBILHOME 8 personnes - Nouméa + clim (2 mobil homes accolés),Camping Le Bellevue,8 Adultes, 34350 VALRAS,,,33,camping-le-bellevue-76586,
,24/04/2023,20/08/2023,27/08/2023,1193,1193,MOBILHOME 4 personnes - Confort + Super Venus - Clim/TV - Dimanche,Camping Paradis Cayola,4 Adultes, 34450 VIAS,,,33,camping-paradis-cayola-78739,
,24/04/2023,20/08/2023,27/08/2023,1260,1260,MOBILHOME 5 personnes - Confort + O'Hara - Clim/TV - Dimanche,Camping Paradis Cayola,4 Adultes, 34450 VIAS,,,33,camping-paradis-cayola-78739,
,24/04/2023,20/08/2023,27/08/2023,1336,1336,MOBILHOME 5 personnes - Loggia 27m² Clim/TV - Dimanche,Camping Paradis Cayola,4 Adultes, 34450 VIAS,,,33,camping-paradis-cayola-78739,
,24/04/2023,20/08/2023,27/08/2023,1336,1336,MOBILHOME 4 personnes - Cayo - Dimanche,Camping Paradis Cayola,4 Adultes, 34450 VIAS,,,33,camping-paradis-cayola-78739,
,24/04/2023,20/08/2023,27/08/2023,1367,1367,MOBILHOME 4 personnes - Tiki - Dimanche,Camping Paradis Cayola,4 Adultes, 34450 VIAS,,,33,camping-paradis-cayola-78739,
,24/04/2023,20/08/2023,27/08/2023,1413,1413,MOBILHOME 4 personnes - Confort + Declik Premium - Clim/TV/Lave-vaisselle - Dimanche,Camping Paradis Cayola,4 Adultes, 34450 VIAS,,,33,camping-paradis-cayola-78739,
,24/04/2023,20/08/2023,27/08/2023,1531,1531,MOBILHOME 4 personnes - Tropico Premium- Dimanche,Camping Paradis Cayola,4 Adultes, 34450 VIAS,,,33,camping-paradis-cayola-78739,
,24/04/2023,20/08/2023,27/08/2023,1586,1586,MOBILHOME 6 personnes - Declik - Clim/TV - Dimanche,Camping Paradis Cayola,6 Adultes, 34450 VIAS,,,33,camping-paradis-cayola-78739,
,24/04/2023,20/08/2023,27/08/2023,1699,1699,MOBILHOME 6 personnes - Confort + Super Titania - Clim/TV - Dimanche,Camping Paradis Cayola,6 Adultes, 34450 VIAS,,,33,camping-paradis-cayola-78739,
,24/04/2023,20/08/2023,27/08/2023,1699,1699,MOBILHOME 6 personnes - Riviera Premium 6 personnes Dimanche,Camping Paradis Cayola,6 Adultes, 34450 VIAS,,,33,camping-paradis-cayola-78739,
,24/04/2023,27/08/2023,03/09/2023,1065,1065,GÎTE 6 personnes - 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,34,camping-sea-green-l-occitan-78738,
,24/04/2023,27/08/2023,03/09/2023,1266.64,1165.64,MOBILHOME 4 personnes - 4 pax standard 2 chambres,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,34,village-club-les-sables-dor-77569,
,24/04/2023,27/08/2023,03/09/2023,1686.04,1552.04,MOBILHOME 6 personnes - 6 personnes Standard 3 chambres,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,34,village-club-les-sables-dor-77569,
,24/04/2023,27/08/2023,03/09/2023,2068.48,1903.48,MOBILHOME 6 personnes - Premium 2 chambres 2 sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,34,village-club-les-sables-dor-77569,
,24/04/2023,27/08/2023,03/09/2023,2300,2116,MOBILHOME 6 personnes - 6 personnes Premium 3 chambres 2 sdb,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,34,village-club-les-sables-dor-77569,
,24/04/2023,27/08/2023,03/09/2023,2530.52,2328.52,MOBILHOME 6 personnes - Premium 3 Chbr / 2 Sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,34,village-club-les-sables-dor-77569,
,24/04/2023,27/08/2023,03/09/2023,2722.16,2505.16,MOBILHOME 4 personnes - Suite Moussaillons,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,34,village-club-les-sables-dor-77569,
,24/04/2023,27/08/2023,03/09/2023,3058.28,2814.28,MOBILHOME 4 personnes - Suite Pirate,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,34,village-club-les-sables-dor-77569,
,24/04/2023,27/08/2023,03/09/2023,3982.36,3664.36,CHAMBRE 6 personnes - SUITE FLIBUSTIER,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,34,village-club-les-sables-dor-77569,
,24/04/2023,27/08/2023,03/09/2023,5326.84,4900.84,CHAMBRE 6 personnes - SUITE PREMIUM BOUCANIER avec jacuzzi,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,34,village-club-les-sables-dor-77569,
,24/04/2023,27/08/2023,03/09/2023,6754.60,6214.60,MOBILHOME 6 personnes - Suite Barbe Noire,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,34,village-club-les-sables-dor-77569,
