web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,24/04/2023,30/04/2023,07/05/2023,250,199,MOBILHOME 5 personnes - en arrivée le dimanche,Camping le Domaine de Chanteraine,5 Adultes, 83630 AIGUINES,,,17,camping-le-domaine-de-chanteraine-76613,
,24/04/2023,30/04/2023,07/05/2023,439,439,MOBILHOME 2 personnes - Astria,Camping de La Baie,2 Adultes, 83240 CAVALAIRE SUR MER,,,17,camping-de-la-baie-77069,
,24/04/2023,30/04/2023,07/05/2023,663,663,MOBILHOME 6 personnes - Watipi,Camping de La Baie,6 Adultes, 83240 CAVALAIRE SUR MER,,,17,camping-de-la-baie-77069,
,24/04/2023,30/04/2023,07/05/2023,461.80,415.80,MOBILHOME 6 personnes - CAYANNE climatisé,Camping Orly d'Azur,6 Adultes, 83140 Six,,,17,camping-orly-dazur-78556,
,24/04/2023,30/04/2023,07/05/2023,497.20,448.20,MOBILHOME 6 personnes - GRASSOIS,Camping Orly d'Azur,6 Adultes, 83140 Six,,,17,camping-orly-dazur-78556,
,24/04/2023,30/04/2023,07/05/2023,522.70,470.70,MOBILHOME 6 personnes - GRASSOIS climatisé,Camping Orly d'Azur,6 Adultes, 83140 Six,,,17,camping-orly-dazur-78556,
,24/04/2023,30/04/2023,07/05/2023,549.50,467.50,MOBILHOME 6 personnes - GALAXIE,Camping La Pierre Verte,6 Adultes, 83600 FREJUS,,,17,camping-la-pierre-verte-77279,
,24/04/2023,30/04/2023,07/05/2023,549.50,467.50,MOBILHOME 5 personnes - MIAMI,Camping La Pierre Verte,5 Adultes, 83600 FREJUS,,,17,camping-la-pierre-verte-77279,
,24/04/2023,30/04/2023,07/05/2023,584.25,497.25,MOBILHOME 5 personnes - Mobil home ZENITH,Camping La Pierre Verte,5 Adultes, 83600 FREJUS,,,17,camping-la-pierre-verte-77279,
,24/04/2023,30/04/2023,07/05/2023,654.75,556.75,MOBILHOME 6 personnes - SUNSET,Camping La Pierre Verte,6 Adultes, 83600 FREJUS,,,17,camping-la-pierre-verte-77279,
