web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,24/04/2023,30/04/2023,07/05/2023,250,199,MOBILHOME 5 personnes - en arrivée le dimanche,Camping le Domaine de Chanteraine,5 Adultes, 83630 AIGUINES,,,17,camping-le-domaine-de-chanteraine-76613,
,24/04/2023,30/04/2023,07/05/2023,350,350,CHALET 5 personnes - Gitotel Cottage 5,Camping Intercommunal de la Durance,5 Adultes, 84300 CAVAILLON,,,17,camping-intercommunal-de-la-durance-78857,
,24/04/2023,30/04/2023,07/05/2023,375,375,MOBILHOME 4 personnes - EVO 24 clim,Camping Intercommunal de la Durance,4 Adultes, 84300 CAVAILLON,,,17,camping-intercommunal-de-la-durance-78857,
,24/04/2023,30/04/2023,07/05/2023,395,395,MOBILHOME 8 personnes - WATIPI TEXAS  6 à 8 personnes,Camping Intercommunal de la Durance,8 Adultes, 84300 CAVAILLON,,,17,camping-intercommunal-de-la-durance-78857,
,24/04/2023,30/04/2023,07/05/2023,439,439,MOBILHOME 2 personnes - Astria,Camping de La Baie,2 Adultes, 83240 CAVALAIRE SUR MER,,,17,camping-de-la-baie-77069,
,24/04/2023,30/04/2023,07/05/2023,663,663,MOBILHOME 6 personnes - Watipi,Camping de La Baie,6 Adultes, 83240 CAVALAIRE SUR MER,,,17,camping-de-la-baie-77069,
,24/04/2023,30/04/2023,07/05/2023,338,287.30,MOBILHOME 6 personnes - RIVIERA 2,Camping Les Rives du Loup,4 Adultes, 06140 TOURRETTES SUR LOUP,,,17,camping-les-rives-du-loup-78648,
,24/04/2023,30/04/2023,07/05/2023,394,394,MOBILHOME 6 personnes - RIVIERA 3,Camping Les Rives du Loup,6 Adultes, 06140 TOURRETTES SUR LOUP,,,17,camping-les-rives-du-loup-78648,
,24/04/2023,30/04/2023,07/05/2023,414,414,MOBILHOME 5 personnes - Zola,Camping Paradis La Pinède,2 Adultes,Route de Saint Pierre ,,,17,camping-paradis-la-pinede-87660,
,24/04/2023,30/04/2023,07/05/2023,443,443,MOBILHOME 4 personnes - Cezanne,Camping Paradis La Pinède,4 Adultes,Route de Saint Pierre ,,,17,camping-paradis-la-pinede-87660,
,24/04/2023,30/04/2023,07/05/2023,456,456,MOBILHOME 5 personnes - Raimu,Camping Paradis La Pinède,4 Adultes,Route de Saint Pierre ,,,17,camping-paradis-la-pinede-87660,
,24/04/2023,30/04/2023,07/05/2023,456,456,CHALET 4 personnes - Chalet Pagnol 24 m² climatisé- 2 chambres - Terrasse 12 m²,Camping Paradis La Pinède,4 Adultes,Route de Saint Pierre ,,,17,camping-paradis-la-pinede-87660,
,24/04/2023,30/04/2023,07/05/2023,519,519,CHALET 5 personnes - Chalet Mistral 25m² - climatisé -  2 chambres - terrasse 12m² 4/5 pers.,Camping Paradis La Pinède,5 Adultes,Route de Saint Pierre ,,,17,camping-paradis-la-pinede-87660,
,24/04/2023,30/04/2023,07/05/2023,461.80,415.80,MOBILHOME 6 personnes - CAYANNE climatisé,Camping Orly d'Azur,6 Adultes, 83140 Six,,,17,camping-orly-dazur-78556,
,24/04/2023,30/04/2023,07/05/2023,497.20,448.20,MOBILHOME 6 personnes - GRASSOIS,Camping Orly d'Azur,6 Adultes, 83140 Six,,,17,camping-orly-dazur-78556,
,24/04/2023,30/04/2023,07/05/2023,522.70,470.70,MOBILHOME 6 personnes - GRASSOIS climatisé,Camping Orly d'Azur,6 Adultes, 83140 Six,,,17,camping-orly-dazur-78556,
,24/04/2023,30/04/2023,07/05/2023,315,315,BUNGALOW TOILÉ 4 personnes - COCO SWEET 2 CHAMBRES (SANS SANITAIRES),Camping Crin Blanc,4 Adultes, 13200 ARLES,,,17,camping-crin-blanc-76780,
,24/04/2023,30/04/2023,07/05/2023,505,356,MOBILHOME 6 personnes - Cosy 3 chambres Climatise (I63C),Camping Crin Blanc,6 Adultes, 13200 ARLES,,,17,camping-crin-blanc-76780,
,24/04/2023,30/04/2023,07/05/2023,420,420,MOBILHOME 6 personnes - CONFORT MISTRAL CLIMATISE,Camping Crin Blanc,6 Adultes, 13200 ARLES,,,17,camping-crin-blanc-76780,
,24/04/2023,30/04/2023,07/05/2023,549.50,467.50,MOBILHOME 6 personnes - GALAXIE,Camping La Pierre Verte,6 Adultes, 83600 FREJUS,,,17,camping-la-pierre-verte-77279,
,24/04/2023,30/04/2023,07/05/2023,549.50,467.50,MOBILHOME 5 personnes - MIAMI,Camping La Pierre Verte,5 Adultes, 83600 FREJUS,,,17,camping-la-pierre-verte-77279,
,24/04/2023,30/04/2023,07/05/2023,584.25,497.25,MOBILHOME 5 personnes - Mobil home ZENITH,Camping La Pierre Verte,5 Adultes, 83600 FREJUS,,,17,camping-la-pierre-verte-77279,
,24/04/2023,30/04/2023,07/05/2023,654.75,556.75,MOBILHOME 6 personnes - SUNSET,Camping La Pierre Verte,6 Adultes, 83600 FREJUS,,,17,camping-la-pierre-verte-77279,
,24/04/2023,30/04/2023,07/05/2023,609,609,MOBILHOME 2 personnes - SUNELIA CONFORT DUO,Camping Le Clos du Rhône,2 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,17,camping-le-clos-du-rhone-78449,
,24/04/2023,30/04/2023,07/05/2023,651,651,MOBILHOME 4 personnes - SUNELIA CONFORT ESPRIT SUD,Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,17,camping-le-clos-du-rhone-78449,
,24/04/2023,30/04/2023,07/05/2023,665,665,"MOBILHOME 4 personnes - SUNELIA CONFORT ""GRAND LARGE""",Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,17,camping-le-clos-du-rhone-78449,
