web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,stars,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,14/04/2023,27/05/2023,02/06/2023,877,877,,545674,0.0,Résidence Cosy Lodge,Aix Les Bains - Savoie,,21,"('660',)",AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,1092,1092,,556324,0.0,Résidence Grand Hôtel,Aix Les Bains - Savoie,,16,"('660',)",AIX LES BAINS
,14/04/2023,06/05/2023,12/05/2023,769,769,,276634,0.0,Résidence Terrasses Des Thermes,Aix Les Bains - Savoie,,18,"('660',)",AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,403,403,,318084,0.0,Résidence Ensoleillée,Aix Les Bains - Savoie,,16,"('660',)",AIX LES BAINS
,14/04/2023,03/06/2023,09/06/2023,580,580,,277854,0.0,Résidence Les Hirondelles,Aix Les Bains - Savoie,,22,"('660',)",AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,689,689,,556374,0.0,Résidence Astoria,Aix Les Bains - Savoie,,16,"('660',)",AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,975,975,,896434,0.0,Résidence Astoria,Aix Les Bains - Savoie,,16,"('660',)",AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,403,403,,554234,0.0,Résidence Ensoleillée,Aix Les Bains - Savoie,,16,"('660',)",AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,689,689,,556384,0.0,Résidence Astoria,Aix Les Bains - Savoie,,16,"('660',)",AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,910,910,,529944,0.0,Résidence Majestic,Aix Les Bains - Savoie,,16,"('660',)",AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,663,663,,307884,0.0,Résidence Belle Reine,Aix Les Bains - Savoie,,16,"('660',)",AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,663,663,,307894,0.0,Résidence Belle Reine,Aix Les Bains - Savoie,,16,"('660',)",AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,780,780,,869284,0.0,Résidence Belle Reine,Aix Les Bains - Savoie,,16,"('660',)",AIX LES BAINS
