web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,14/04/2023,22/04/2023,28/04/2023,1092,1092,,556324,Résidence Grand Hôtel,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,403,403,,318084,Résidence Ensoleillée,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,689,689,,556374,Résidence Astoria,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,975,975,,896434,Résidence Astoria,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,403,403,,554234,Résidence Ensoleillée,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,689,689,,556384,Résidence Astoria,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,910,910,,529944,Résidence Majestic,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,663,663,,307884,Résidence Belle Reine,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,663,663,,307894,Résidence Belle Reine,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,780,780,,869284,Résidence Belle Reine,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,481,481,,307934,Résidence Ensoleillée,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,481,481,,307924,Résidence Ensoleillée,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,1105,1105,,777284,Résidence Astoria,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,499,499,,277764,Résidence Saint Christophe,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,754,754,,504834,Résidence Astoria,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,836,836,,716554,Résidence Les Jardins du Lac,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,780,780,,869294,2 pièces confort - 2 à Aix Les Bains 57,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,715,715,,875234,Résidence Moineaux,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,700,700,,784504,2 pièces - 2 à Aix Les Bains 51,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,657,657,,556364,2,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,769,769,,738154,Résidence Le Bernascon,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,562,562,,675324,Location de Vacances Aix-les-Bains 177,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,1091,1091,,896654,Location de Vacances Aix-les-Bains 209,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,513,513,,889574,Location de Vacances Aix-les-Bains 208,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,513,513,,856834,Location de Vacances Aix-les-Bains 200,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,500,500,,521584,Location de Vacances Aix-les-Bains 159,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,628,628,,335134,Location de Vacances Aix-les-Bains 64,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,327,327,,336674,Location de Vacances Aix-les-Bains 28,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,562,562,,325904,Location de Vacances Aix-les-Bains 46,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,488,488,,322654,Location de Vacances Aix-les-Bains 54,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,735,735,,336744,Location de Vacances Aix-les-Bains 70,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,417,417,,322644,Location de Vacances Aix-les-Bains 36,Aix Les Bains - Savoie,,16,660,AIX LES BAINS
,14/04/2023,22/04/2023,28/04/2023,927,927,,368624,Résidence Les Portes Du Pleney,Morzine - Haute Savoie,,16,55,LES GETS
,14/04/2023,22/04/2023,28/04/2023,1334,1334,,629344,Résidence Frenes Blancs,Morzine - Haute Savoie,,16,55,LES GETS
,14/04/2023,22/04/2023,28/04/2023,933,933,,194850,Location de Vacances Morzine 108,Morzine - Haute Savoie,,16,55,LES GETS
,14/04/2023,22/04/2023,28/04/2023,454,454,,194770,Location de Vacances Morzine 89,Morzine - Haute Savoie,,16,55,LES GETS
,14/04/2023,22/04/2023,28/04/2023,693,693,,424034,Location de Vacances Morillon 1100 26,Morillon - Haute Savoie,,16,55,LES GETS
,14/04/2023,22/04/2023,28/04/2023,400,400,,527154,Studio à Samoëns 20,Samoëns - Haute Savoie,,16,55,LES GETS
,14/04/2023,22/04/2023,28/04/2023,560,560,,327334,Location de Vacances Samoëns 75,Samoëns - Haute Savoie,,16,55,LES GETS
,14/04/2023,22/04/2023,28/04/2023,752,752,,331754,Location de Vacances Samoëns 67,Samoëns - Haute Savoie,,16,55,LES GETS
,14/04/2023,22/04/2023,28/04/2023,560,560,,331534,Location de Vacances Samoëns 65,Samoëns - Haute Savoie,,16,55,LES GETS
,14/04/2023,22/04/2023,28/04/2023,560,560,,325824,Location de Vacances Samoëns 68,Samoëns - Haute Savoie,,16,55,LES GETS
,14/04/2023,22/04/2023,28/04/2023,757,682,,802324,Location de Vacances Samoëns 220,Samoëns - Haute Savoie,,16,55,LES GETS
,14/04/2023,22/04/2023,28/04/2023,641,641,,331624,Location de Vacances Samoëns 76,Samoëns - Haute Savoie,,16,55,LES GETS
,14/04/2023,22/04/2023,28/04/2023,300,300,,376964,Résidence Cybele 4,Brides-les-Bains - Savoie,,16,23,BRIDES LES BAINS
,14/04/2023,22/04/2023,28/04/2023,300,300,,360574,Résidence Cybele,Brides-les-Bains - Savoie,,16,23,BRIDES LES BAINS
,14/04/2023,22/04/2023,28/04/2023,300,300,,618824,Résidence Villa Louise,Brides-les-Bains - Savoie,,16,23,BRIDES LES BAINS
,14/04/2023,22/04/2023,28/04/2023,322,322,,362364,Résidence Tarentaise,Brides-les-Bains - Savoie,,16,23,BRIDES LES BAINS
,14/04/2023,22/04/2023,28/04/2023,344,344,,361454,Résidence Olympe,Brides-les-Bains - Savoie,,16,23,BRIDES LES BAINS
,14/04/2023,22/04/2023,28/04/2023,322,322,,362284,Résidence Royal,Brides-les-Bains - Savoie,,16,23,BRIDES LES BAINS
,14/04/2023,22/04/2023,28/04/2023,482,482,,361404,Résidence La Poste,Brides-les-Bains - Savoie,,16,23,BRIDES LES BAINS
,14/04/2023,22/04/2023,28/04/2023,520,520,,887824,Résidence Villa La Treille,Brides-les-Bains - Savoie,,16,23,BRIDES LES BAINS
,14/04/2023,22/04/2023,28/04/2023,315,252,,193343,Résidence Le Centre,Champagny-en-Vanoise - Savoie,,16,23,BRIDES LES BAINS
,14/04/2023,22/04/2023,28/04/2023,686,686,,187424,Residence Plein Soleil,Méribel - Mottaret - Savoie,,16,23,BRIDES LES BAINS
,14/04/2023,22/04/2023,28/04/2023,590,590,,375114,Résidence Boulevard,Méribel - Mottaret - Savoie,,16,23,BRIDES LES BAINS
