web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1675405435-1,13/02/23,06/02/2023,07/02/2023, 102, 102,Chambre Double ou Lits Jumeaux,,Hôtel le Christiania,Arêches,,6
1675405435-2,13/02/23,06/02/2023,07/02/2023, 211, 211,Chambre comfort familiale,,Hôtel Chalet Le Caribou,Les Saisies,,6
1675405435-3,13/02/23,06/02/2023,07/02/2023, 131, 131,Petite Chambre Double,,Maison Doron,Beaufort,,6
1675405435-4,13/02/23,06/02/2023,07/02/2023, 288, 288,Chambre Lits Jumeaux,,Le Calgary,Les Saisies,,6
1675405435-5,13/02/23,06/02/2023,07/02/2023, 378, 378,Suite avec Terrasse,,"La Ferme du Chozal, The Originals Relais",Hauteluce,,6
1675405435-6,13/02/23,06/02/2023,07/02/2023, 89, 89,Chambre Double,,Hôtel Les Bernards,Praz-sur-Arly,,6
1675405435-7,13/02/23,06/02/2023,07/02/2023, 132, 132,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,6
1675405435-8,13/02/23,06/02/2023,07/02/2023, 170, 170,Chambre Double Standard,,Hôtel Vacances Bleues Les Chalets du Prariand,Megève,,6
1675405435-9,13/02/23,06/02/2023,07/02/2023, 82, 82,Chambre Double,,Auberge de Costaroche,Albertville,,6
1675405435-10,13/02/23,06/02/2023,07/02/2023, 166, 166,Chambre Double Supérieure,,Hotel Million,Albertville,,6
1675405435-11,13/02/23,06/02/2023,07/02/2023, 772, 772,Chambre Double Classique,,"L'Alpaga, a Beaumier hotel",Megève,,6
1675405435-12,13/02/23,06/02/2023,07/02/2023, 322, 322,Chambre Double ou Lits Jumeaux,,Hôtel La Grange d'Arly,Megève,,6
1675405435-13,13/02/23,06/02/2023,07/02/2023, 61, 61,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,6
1675405435-14,13/02/23,06/02/2023,07/02/2023, 272, 272,Chambre Double Standard,,Au Coin Du Feu,Megève,,6
1675405435-15,13/02/23,06/02/2023,07/02/2023, 156, 156,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,6
1675405435-16,13/02/23,06/02/2023,07/02/2023, 514, 514,Chambre Double,,Lodge Park,Megève,,6
1675405435-17,13/02/23,06/02/2023,07/02/2023, 275, 275,Chambre Double Standard,,Le Chalet d'Antoine,Megève,,6
1675405435-18,13/02/23,06/02/2023,07/02/2023, 548, 548,Chambre Double Confort,,Coeur de Megève,Megève,,6
1675405435-19,13/02/23,06/02/2023,07/02/2023, 414, 414,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,6
1675405435-20,13/02/23,06/02/2023,07/02/2023, 233, 233,Chambre Triple avec Balcon,,Hotel La Chaumine,Megève,,6
1675405435-21,13/02/23,06/02/2023,07/02/2023, 93, 93,Chambre Double,,Albert 1er,Albertville,,6
1675405435-22,13/02/23,06/02/2023,07/02/2023, 748, 748,Chambre Double Classique Sud,,Fer à Cheval,Megève,,6
1675405435-23,13/02/23,06/02/2023,07/02/2023, 821, 821,Chambre Double Club,,Les Fermes de Marie,Megève,,6
1675405435-24,13/02/23,06/02/2023,07/02/2023, 262, 262,Chambre Double,,Hôtel Les Cimes,Megève,,6
