web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,stars,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,30/03/2023,29/04/2023,05/05/2023,429,429,,879564,0,Résidence Lagon,,,17,"('365',)",ARGELES
,30/03/2023,15/04/2023,21/04/2023,220 ,209,,158366,4,Résidence Demeures de la Massane (AGL120),,,15,"('365',)",ARGELES
,30/03/2023,15/04/2023,21/04/2023,359,359,,577124,0,Résidence Hameau Du Soleil,,,15,"('365',)",ARGELES
,30/03/2023,15/04/2023,21/04/2023,317,317,,577154,0,Résidence Pic D'argeles,,,15,"('365',)",ARGELES
,30/03/2023,29/04/2023,05/05/2023,514,514,,577214,4,Résidence Diamant Vert,,,17,"('365',)",ARGELES
,30/03/2023,15/04/2023,21/04/2023,472,472,,576434,0,Résidence Paganes,,,15,"('365',)",ARGELES
,30/03/2023,27/05/2023,02/06/2023,376,376,,577564,0,Résidence Margarita,,,21,"('365',)",ARGELES
,30/03/2023,06/05/2023,12/05/2023,499,499,,577704,0,Résidence Patios De La Massane,,,18,"('365',)",ARGELES
,30/03/2023,03/06/2023,09/06/2023,341,341,,577044,5,Résidence Petit Bois,,,22,"('365',)",ARGELES
,30/03/2023,17/06/2023,23/06/2023,306,306,,577534,0,Résidence Plein Sud,,,24,"('365',)",ARGELES
,30/03/2023,06/05/2023,12/05/2023,374,374,,617054,0,Résidence Catalunya,,,18,"('365',)",ARGELES
,30/03/2023,03/06/2023,09/06/2023,395,395,,577004,2,Résidence Lagon,,,22,"('365',)",ARGELES
,30/03/2023,15/04/2023,21/04/2023,374,374,,576654,0,Résidence Bahia,,,15,"('365',)",ARGELES
,30/03/2023,01/07/2023,07/07/2023,475,475,,577544,0,Résidence Villegiales Quai D'honneur,,,26,"('365',)",ARGELES
,30/03/2023,08/04/2023,14/04/2023,497 ,472,,138353,0,Résidence Le Clos des Alberes,,,14,"('365',)",ARGELES
,30/03/2023,08/04/2023,14/04/2023,514,514,,576394,0,Résidence Calanques,,,14,"('365',)",ARGELES
,30/03/2023,15/04/2023,21/04/2023,386,386,,577784,0,Résidence Calypso,,,15,"('365',)",ARGELES
,30/03/2023,03/06/2023,09/06/2023,380,380,,577334,0,Résidence Golfes Clairs,,,22,"('365',)",ARGELES
,30/03/2023,15/04/2023,21/04/2023,332,332,,576694,0,Résidence Catalunya,,,15,"('365',)",ARGELES
,30/03/2023,15/04/2023,21/04/2023,395,395,,576824,0,Résidence Acapulco,,,15,"('365',)",ARGELES
,30/03/2023,15/04/2023,21/04/2023,380,380,,576814,0,Résidence Villegiales Du Mole,,,15,"('365',)",ARGELES
,30/03/2023,17/06/2023,23/06/2023,374,374,,577614,3,Résidence Hacienda,,,24,"('365',)",ARGELES
,30/03/2023,22/04/2023,28/04/2023,457,457,,576804,0,Résidence Goelette,,,16,"('365',)",ARGELES
,30/03/2023,15/04/2023,21/04/2023,481 ,457,,77258,0,Résidence Santa Maria,,,15,"('365',)",ARGELES
,30/03/2023,13/05/2023,19/05/2023,513 ,487,,51574,0,Résidence Les Patios de la Massane,,,19,"('365',)",ARGELES
