web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
8,24/04/2023,LE PLA D'ADET,,,,,,,,,,,
,24/04/2023,29/04/2023,06/05/2023,463,463,2 Pièces pour 3 Personnes,524624,Résidence Val Blanc 2,Arêches Beaufort,,17,321,ARECHES BEAUFORT
,24/04/2023,29/04/2023,06/05/2023,544,435,Studio 4 personnes - 1 coin nuit,35673,Résidence Pierre & Vacances Les Rives de l’Aure,Saint-Lary-Soulan,,17,706,LE PLA D'ADET
,24/04/2023,29/04/2023,06/05/2023,631,631,2 Pièces pour 4 Personnes,498344,Résidence Grande Chaume,Les 2 Alpes,,17,50,LES DEUX ALPES
,24/04/2023,29/04/2023,06/05/2023,460,460,2 Pièces pour 4 Personnes,498444,Résidence Arc En Ciel B,Les 2 Alpes,,17,50,LES DEUX ALPES
,24/04/2023,29/04/2023,06/05/2023,641,641,Studio pour 4 Personnes,499974,Résidence Midi,Les 2 Alpes,,17,50,LES DEUX ALPES
,24/04/2023,29/04/2023,06/05/2023,699,699,Studio pour 4 Personnes,498394,Résidence Cote Brune 2,Les 2 Alpes,,17,50,LES DEUX ALPES
,24/04/2023,29/04/2023,06/05/2023,489,489,Studio pour 4 Personnes,498504,Résidence Vallee Blanche,Les 2 Alpes,,17,50,LES DEUX ALPES
,24/04/2023,29/04/2023,06/05/2023,631,631,2 Pièces pour 4 Personnes,520584,Résidence Sud,Les 2 Alpes,,17,50,LES DEUX ALPES
,24/04/2023,29/04/2023,06/05/2023,504,504,2 Pièces pour 4 Personnes,498674,Résidence Soleil,Les 2 Alpes,,17,50,LES DEUX ALPES
,24/04/2023,29/04/2023,06/05/2023,460,460,Studio pour 4 Personnes,498714,Résidence Myosotis,Les 2 Alpes,,17,50,LES DEUX ALPES
,24/04/2023,29/04/2023,06/05/2023,866,866,3 Pièces pour 8 Personnes,500954,Résidence Alpheratz,Les 2 Alpes,,17,50,LES DEUX ALPES
,24/04/2023,29/04/2023,06/05/2023,567,567,Studio pour 4 Personnes,498304,Résidence Le Midi,Les 2 Alpes,,17,50,LES DEUX ALPES
